player_id,season_avg_points,season_avg_rebounds,season_avg_assists,last_10_avg_points,last_5_avg_points,last_5_avg_rebounds,last_5_avg_assists,home_vs_away,games_played,rest_days,actual_points,actual_rebounds,actual_assists
1627936,9.3,4.4,3.85,9.9,8.0,5.6,4.4,0,20,3,10,2,3
1627936,9.333333333333334,4.285714285714286,3.8095238095238093,9.4,7.2,5.6,4.0,1,21,7,12,3,5
1627936,9.454545454545455,4.2272727272727275,3.8636363636363638,9.8,8.2,5.2,3.8,0,22,2,12,3,2
1627936,9.565217391304348,4.173913043478261,3.782608695652174,10.0,10.0,4.0,3.0,1,23,1,4,2,1
1627936,9.333333333333334,4.083333333333333,3.6666666666666665,9.3,9.4,3.6,2.4,0,24,0,8,2,2
1627936,9.28,4.0,3.6,8.6,9.2,2.4,2.6,0,25,0,13,4,3
1627936,9.423076923076923,4.0,3.576923076923077,8.5,9.8,2.8,2.6,0,26,4,5,2,3
1627936,9.25925925925926,3.925925925925926,3.5555555555555554,8.3,8.4,2.6,2.2,1,27,1,12,6,3
1627936,9.357142857142858,4.0,3.5357142857142856,9.2,8.4,3.2,2.4,1,28,1,6,2,2
1627936,9.241379310344827,3.9310344827586206,3.4827586206896552,9.1,8.8,3.2,2.6,0,29,0,11,6,6
1627936,9.3,4.0,3.566666666666667,9.3,9.4,4.0,3.4,0,30,1,10,3,3
1627936,9.32258064516129,3.967741935483871,3.5483870967741935,9.3,8.8,3.8,3.4,0,31,2,10,3,4
1627936,9.34375,3.9375,3.5625,9.1,9.8,4.0,3.6,1,32,1,8,3,1
1627936,9.303030303030303,3.909090909090909,3.484848484848485,8.7,9.0,3.4,3.2,0,33,1,15,4,3
1627936,9.470588235294118,3.911764705882353,3.4705882352941178,9.8,10.8,3.8,3.4,0,34,2,17,4,6
1627936,9.685714285714285,3.914285714285714,3.5428571428571427,10.7,12.0,3.4,3.4,0,35,2,9,5,3
1627936,9.666666666666666,3.9444444444444446,3.5277777777777777,10.3,11.8,3.8,3.4,1,36,1,11,3,2
1627936,9.702702702702704,3.918918918918919,3.4864864864864864,10.9,12.0,3.8,3.0,0,37,0,10,5,3
1627936,9.710526315789474,3.9473684210526314,3.473684210526316,10.7,12.4,4.2,3.4,1,38,7,11,4,2
1627936,9.743589743589743,3.948717948717949,3.4358974358974357,11.2,11.6,4.2,3.2,0,39,2,2,3,7
1627936,9.55,3.925,3.525,10.3,8.6,4.0,3.4,0,40,1,11,3,4
1627936,9.585365853658537,3.902439024390244,3.5365853658536586,10.4,9.0,3.6,3.6,0,41,0,5,5,2
1627936,9.476190476190476,3.9285714285714284,3.5,9.9,7.8,4.0,3.6,0,42,1,9,1,6
1627936,9.465116279069768,3.86046511627907,3.558139534883721,10.0,7.6,3.2,4.2,1,43,1,4,5,3
1627936,9.340909090909092,3.8863636363636362,3.5454545454545454,8.9,6.2,3.4,4.4,0,44,1,23,7,7
1627936,9.644444444444444,3.9555555555555557,3.6222222222222222,9.5,10.4,4.2,4.4,1,45,0,17,3,6
1627936,9.804347826086957,3.9347826086956523,3.6739130434782608,10.3,11.6,4.2,4.8,1,46,1,16,5,5
1627936,9.936170212765957,3.9574468085106385,3.702127659574468,10.8,13.8,4.2,5.4,1,47,1,5,4,4
1627936,9.833333333333334,3.9583333333333335,3.7083333333333335,10.3,13.0,4.8,5.0,0,48,2,12,2,4
1627936,9.877551020408163,3.9183673469387754,3.7142857142857144,10.4,14.6,4.2,5.2,1,49,1,14,3,3
1627936,9.96,3.9,3.7,11.6,12.8,3.4,4.4,1,50,1,12,6,5
1627936,10.0,3.9411764705882355,3.7254901960784315,11.7,11.8,4.0,4.2,1,51,1,12,7,7
1627936,10.038461538461538,4.0,3.7884615384615383,12.4,11.0,4.4,4.6,0,52,1,6,3,5
1627936,9.962264150943396,3.981132075471698,3.811320754716981,12.1,11.2,4.2,4.8,0,53,1,21,5,5
1627936,10.166666666666666,4.0,3.8333333333333335,13.8,13.0,4.8,5.0,0,54,0,6,4,1
1627936,10.090909090909092,4.0,3.7818181818181817,12.1,11.4,5.0,4.6,1,55,1,3,2,2
1627936,9.964285714285714,3.9642857142857144,3.75,10.7,9.6,4.2,4.0,0,56,0,3,0,2
1627936,9.842105263157896,3.8947368421052633,3.719298245614035,9.4,7.8,2.8,3.0,1,57,1,10,1,3
1627936,9.844827586206897,3.8448275862068964,3.706896551724138,9.9,8.6,2.4,2.6,1,58,1,19,4,2
1627936,10.0,3.847457627118644,3.6779661016949152,10.6,8.2,2.2,2.0,1,59,6,16,5,3
1627936,10.1,3.8666666666666667,3.6666666666666665,10.8,10.2,2.4,2.4,1,60,1,18,1,0
1627936,10.229508196721312,3.819672131147541,3.6065573770491803,11.4,13.2,2.2,2.0,1,61,0,11,1,3
1627936,10.241935483870968,3.774193548387097,3.596774193548387,11.3,14.8,2.4,2.2,1,62,1,13,4,3
1627936,10.285714285714286,3.7777777777777777,3.5873015873015874,12.0,15.4,3.0,2.2,0,63,1,12,6,1
1627936,10.3125,3.8125,3.546875,11.1,14.0,3.4,2.0,0,64,1,7,2,1
1627936,10.261538461538462,3.7846153846153845,3.5076923076923077,11.2,12.2,2.8,1.6,0,65,3,8,2,2
1627936,10.227272727272727,3.757575757575758,3.484848484848485,11.7,10.2,3.0,2.0,1,66,1,11,1,5
1627936,10.238805970149254,3.716417910447761,3.5074626865671643,12.5,10.2,3.0,2.4,1,67,0,6,2,3
1627936,10.176470588235293,3.6911764705882355,3.5,12.1,8.8,2.6,2.4,1,68,1,13,13,2
1627936,10.217391304347826,3.8260869565217392,3.4782608695652173,11.5,9.0,4.0,2.6,0,69,0,2,5,4
1627936,10.1,3.842857142857143,3.4857142857142858,10.1,8.0,4.6,3.2,0,70,1,8,4,3
1630578,17.8,9.5,4.5,17.8,19.0,9.4,4.0,0,10,0,37,11,6
1630578,19.545454545454547,9.636363636363637,4.636363636363637,19.4,23.4,10.2,5.0,1,11,2,30,16,5
1630578,20.416666666666668,10.166666666666666,4.666666666666667,20.3,25.4,11.8,5.0,1,12,0,24,5,1
1630578,20.692307692307693,9.76923076923077,4.384615384615385,21.0,25.4,11.2,4.0,1,13,1,28,7,8
